#,Bid Number,RA Number,Items / Categories,Department / Ministry,Start Date,End Date,Opening Date,Quantity,Tender Status,G.M. DALUI Status,G.M. DALUI Rank,G.M. DALUI Price,L1 Seller,L1 Price,L1-L2 Diff %,User Remark,Orders PDF Link,Attached Files
1,"GEM/2026/B/7819002","N/A","BID DETAILS","","22-07-2026 11:45:41","01-08-2026 12:00:00","01-08-2026 12:30:00","71","Pending","Disqualified","N/A","N/A","N/A","N/A","10.17%","","",""
2,"GEM/2026/B/7815185","N/A","BID DETAILS","","21-07-2026 14:42:02","31-07-2026 17:00:00","31-07-2026 17:30:00","25","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
3,"GEM/2026/B/7814604","N/A","BID DETAILS","","21-07-2026 13:57:45","08-08-2026 15:00:00","08-08-2026 15:30:00","1","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
4,"GEM/2026/B/7802250","N/A","BID DETAILS","","17-07-2026 16:32:50","27-07-2026 17:00:00","27-07-2026 17:30:00","94","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
5,"GEM/2026/B/7801066","N/A","BID DETAILS","","17-07-2026 14:02:39","30-07-2026 15:00:00","30-07-2026 15:30:00","2","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
6,"GEM/2026/B/7800968","N/A","BID DETAILS","","17-07-2026 13:48:57","27-07-2026 14:00:00","27-07-2026 14:30:00","4","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
7,"GEM/2026/B/7792794","GEM/2026/R/726689","BID DETAILS","","15-07-2026 19:04:17","27-07-2026 14:00:00","27-07-2026 14:30:00","165","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
8,"GEM/2026/B/7790803","N/A","BID DETAILS","","18-07-2026 16:54:19","08-08-2026 17:00:00","08-08-2026 17:30:00","24","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
9,"GEM/2026/B/7780587","N/A","BID DETAILS","","16-07-2026 18:15:27","27-07-2026 19:00:00","27-07-2026 19:30:00","15","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
10,"GEM/2026/B/7771774","N/A","BID DETAILS","","14-07-2026 10:17:32","25-07-2026 11:00:00","25-07-2026 11:30:00","75","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
11,"GEM/2026/B/7747857","N/A","BID DETAILS","","11-07-2026 17:48:26","27-07-2026 13:00:00","27-07-2026 13:30:00","4","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
12,"GEM/2026/B/7746705","N/A","BID DETAILS","","04-07-2026 16:32:48","18-07-2026 18:00:00","18-07-2026 18:30:00","131","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
13,"GEM/2026/B/7746182","N/A","BID DETAILS","","04-07-2026 14:46:04","20-07-2026 15:00:00","20-07-2026 15:30:00","35","Pending","Disqualified","N/A","N/A","N/A","N/A","N/A","","",""
14,"GEM/2026/B/7742366","N/A","BID DETAILS","","15-07-2026 12:04:34","10-08-2026 14:00:00","10-08-2026 14:30:00","1","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
15,"GEM/2026/B/7736890","N/A","BID DETAILS","","02-07-2026 16:05:33","13-07-2026 17:00:00","13-07-2026 17:30:00","5","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
16,"GEM/2026/B/7736512","N/A","BID DETAILS","","04-07-2026 12:31:26","27-07-2026 14:00:00","27-07-2026 14:30:00","51","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
17,"GEM/2026/B/7730297","N/A","BID DETAILS","","02-07-2026 16:45:30","22-07-2026 15:00:00","22-07-2026 15:30:00","36","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
18,"GEM/2026/B/7725902","N/A","BID DETAILS","","30-06-2026 13:37:33","06-08-2026 15:00:00","06-08-2026 15:30:00","108","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
19,"GEM/2026/B/7718508","N/A","BID DETAILS","","27-06-2026 17:34:42","14-07-2026 16:00:00","14-07-2026 16:30:00","66","Pending","Not Participated","N/A","N/A","N/A","N/A","14.32%","","",""
20,"GEM/2026/B/7716032","N/A","BID DETAILS","","26-06-2026 19:39:46","11-07-2026 20:00:00","11-07-2026 20:30:00","58","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
21,"GEM/2026/B/7716021","N/A","BID DETAILS","","26-06-2026 20:50:21","17-07-2026 21:00:00","17-07-2026 21:30:00","15","Pending","Not Participated","N/A","N/A","N/A","N/A","44.43%","","",""
22,"GEM/2026/B/7714963","N/A","BID DETAILS","","26-06-2026 17:03:05","17-07-2026 17:00:00","17-07-2026 17:30:00","74","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
23,"GEM/2026/B/7712921","N/A","BID DETAILS","","25-06-2026 18:37:58","16-07-2026 17:00:00","16-07-2026 17:30:00","345","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
24,"GEM/2026/B/7710775","N/A","BID DETAILS","","25-06-2026 13:34:31","16-07-2026 18:00:00","16-07-2026 18:30:00","6","Pending","Not Participated","N/A","N/A","N/A","N/A","4.65%","","",""
25,"GEM/2026/B/7708499","N/A","BID DETAILS","","25-06-2026 08:11:37","10-07-2026 09:00:00","10-07-2026 09:30:00","71","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
26,"GEM/2026/B/7708478","N/A","BID DETAILS","","25-06-2026 00:26:50","11-07-2026 10:00:00","11-07-2026 10:30:00","64","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
27,"GEM/2026/B/7708440","N/A","BID DETAILS","","25-06-2026 15:32:51","13-07-2026 15:00:00","13-07-2026 15:30:00","5","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
28,"GEM/2026/B/7703516","N/A","BID DETAILS","","24-06-2026 12:22:10","15-07-2026 15:00:00","15-07-2026 15:30:00","10","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
29,"GEM/2026/B/7702284","N/A","BID DETAILS","","23-06-2026 17:37:40","11-07-2026 18:00:00","09-07-2026 18:30:00","24","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
30,"GEM/2026/B/7694804","N/A","BID DETAILS","","13-07-2026 17:21:06","06-08-2026 18:00:00","06-08-2026 18:30:00","19","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
31,"GEM/2026/B/7692034","N/A","BID DETAILS","","20-06-2026 17:41:03","06-07-2026 18:00:00","06-07-2026 18:30:00","11","Pending","Not Participated","N/A","N/A","N/A","N/A","54.06%","","",""
32,"GEM/2026/B/7687339","N/A","BID DETAILS","","22-06-2026 08:55:27","02-07-2026 14:00:00","02-07-2026 14:30:00","5","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
33,"GEM/2026/B/7687052","N/A","BID DETAILS","","25-06-2026 15:01:09","10-07-2026 15:00:00","10-07-2026 15:30:00","7","Pending","Not Participated","N/A","N/A","N/A","N/A","92.68%","","",""
34,"GEM/2026/B/7686807","N/A","BID DETAILS","","25-06-2026 14:59:35","21-07-2026 11:00:00","21-07-2026 11:30:00","10","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
35,"GEM/2026/B/7681802","GEM/2026/R/701664","BID DETAILS","","19-06-2026 08:29:01","02-07-2026 12:00:00","02-07-2026 12:30:00","1185","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
36,"GEM/2026/B/7676651","N/A","BID DETAILS","","22-06-2026 14:32:53","14-07-2026 14:00:00","14-07-2026 14:30:00","1","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
37,"GEM/2026/B/7674505","N/A","BID DETAILS","","17-06-2026 12:08:08","04-07-2026 13:00:00","04-07-2026 13:30:00","7","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
38,"GEM/2026/B/7667011","N/A","BID DETAILS","","15-06-2026 17:26:04","08-07-2026 18:00:00","06-07-2026 15:30:00","45","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
39,"GEM/2026/B/7664728","N/A","BID DETAILS","","19-06-2026 17:41:08","27-07-2026 21:00:00","27-07-2026 21:30:00","4","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
40,"GEM/2026/B/7664591","N/A","BID DETAILS","","22-06-2026 16:49:43","21-07-2026 21:00:00","21-07-2026 21:30:00","62","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
41,"GEM/2026/B/7658928","N/A","BID DETAILS","","19-06-2026 13:15:34","10-07-2026 15:00:00","10-07-2026 15:30:00","47","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
